file name,n objects,object class,width,height,xmin,ymin,xmax,ymax
2007_000648,7,person,500,333,394,199.0,404,223
2007_000648,7,person,500,333,424,199.0,436,220
2007_000648,7,person,500,333,434,196.0,444,220
2007_000648,7,person,500,333,443,195.0,452,220
2007_000648,7,bus,500,333,29,113.0,353,266
2007_000648,7,aeroplane,500,333,328,86.0,474,192
2007_000648,7,car,500,333,2,213.0,28,235
2007_000661,3,sofa,500,375,119,177.0,331,278
2007_000661,3,pottedplant,500,375,65,90.0,170,197
2007_000661,3,chair,500,375,133,159.0,179,197
2007_000663,6,bus,422,500,12,2.0,417,467
2007_000663,6,car,422,500,7,39.0,63,94
2007_000663,6,car,422,500,362,24.0,422,53
2007_000663,6,car,422,500,376,36.0,422,81
2007_000663,6,car,422,500,373,68.0,422,108
2007_000663,6,car,422,500,376,98.0,422,210
2007_000664,1,person,500,375,51,2.0,325,375
2007_000676,1,sheep,500,375,59,94.0,472,270
2007_000713,2,boat,500,336,80,168.0,254,312
2007_000713,2,boat,500,336,184,160.0,472,269
2007_000720,1,dog,500,333,217,118.0,305,263
2007_000727,8,bus,375,500,89,323.0,273,436
2007_000727,8,car,375,500,272,369.0,323,388
2007_000727,8,car,375,500,2,380.0,89,435
2007_000727,8,person,375,500,333,356.0,358,438
2007_000727,8,person,375,500,319,357.0,341,424
2007_000727,8,person,375,500,354,363.0,375,414
2007_000727,8,car,375,500,49,367.0,90,389
2007_000727,8,car,375,500,113,138.0,160,164
2007_000733,2,person,450,435,48,25.0,273,383
2007_000733,2,motorbike,450,435,103,201.0,448,435
2007_000738,1,aeroplane,500,332,1,124.0,496,235
2007_000762,8,diningtable,500,375,1,189.0,500,375
2007_000762,8,bottle,500,375,29,152.0,118,375
2007_000762,8,person,500,375,382,61.0,500,261
2007_000762,8,person,500,375,342,142.0,393,202
2007_000762,8,person,500,375,143,127.0,266,223
2007_000762,8,person,500,375,199,140.0,220,187
2007_000762,8,person,500,375,4,22.0,124,252
2007_000762,8,person,500,375,3,249.0,174,328
2007_000768,2,bus,500,375,369,103.0,475,283
2007_000768,2,bus,500,375,33,46.0,369,330
2007_000783,2,person,480,437,201,57.0,325,259
2007_000783,2,horse,480,437,112,100.0,441,409
2007_000793,10,person,500,375,289,100.0,316,183
2007_000793,10,person,500,375,241,111.0,270,180
2007_000793,10,person,500,375,218,107.0,236,178
2007_000793,10,person,500,375,402,67.0,467,259
2007_000793,10,person,500,375,65,110.0,84,161
2007_000793,10,person,500,375,96,107.0,114,159
2007_000793,10,person,500,375,100,78.0,190,282
2007_000793,10,person,500,375,273,103.0,295,182
2007_000793,10,bicycle,500,375,151,160.0,310,280
2007_000793,10,bus,500,375,2,80.0,51,135
2007_000799,2,horse,500,441,95,23.0,500,441
2007_000799,2,person,500,441,230,225.0,500,441
2007_000804,3,chair,333,500,94,243.0,153,304
2007_000804,3,chair,333,500,32,352.0,126,491
2007_000804,3,sofa,333,500,191,265.0,332,470
2007_000807,1,person,334,500,34,31.0,200,500
2007_000822,2,motorbike,500,374,98,165.0,230,346
2007_000822,2,motorbike,500,374,231,168.0,353,323
2007_000830,4,diningtable,500,375,124,182.0,352,370
2007_000830,4,chair,500,375,150,221.0,259,375
2007_000830,4,chair,500,375,252,201.0,348,347
2007_000830,4,chair,500,375,250,175.0,318,248
2007_000836,2,person,318,480,69,99.0,224,297
2007_000836,2,horse,318,480,93,162.0,226,442
2007_000837,1,boat,500,275,261,65.0,365,159
2007_000847,2,diningtable,375,500,1,279.0,208,500
2007_000847,2,person,375,500,61,111.0,296,500
2007_000862,2,person,500,375,305,131.0,318,151
2007_000862,2,boat,500,375,304,142.0,354,160
2007_000876,2,cat,500,334,117,31.0,376,329
2007_000876,2,cat,500,334,261,14.0,398,132
2007_000904,3,cow,500,375,237,167.0,338,263
2007_000904,3,person,500,375,17,113.0,165,238
2007_000904,3,horse,500,375,1,213.0,305,375
2007_000925,2,sheep,500,353,29,101.0,216,343
2007_000925,2,sheep,500,353,309,105.0,460,333
2007_000999,2,bottle,375,500,233,317.0,289,405
2007_000999,2,person,375,500,2,16.0,280,500
2007_001027,7,chair,500,375,203,174.0,254,273
2007_001027,7,chair,500,375,329,174.0,348,223
2007_001027,7,chair,500,375,256,189.0,306,292
2007_001027,7,chair,500,375,263,218.0,351,329
2007_001027,7,sofa,500,375,401,270.0,500,375
2007_001027,7,bicycle,500,375,58,156.0,94,218
2007_001027,7,tvmonitor,500,375,1,244.0,43,340
2007_001073,6,cow,500,375,55,178.0,149,248
2007_001073,6,cow,500,375,135,176.0,174,241
2007_001073,6,cow,500,375,227,153.0,282,236
2007_001073,6,cow,500,375,276,159.0,350,255
2007_001073,6,cow,500,375,327,152.0,425,240
2007_001073,6,cow,500,375,421,161.0,500,227
2007_001149,3,sofa,500,375,148,138.0,403,302
2007_001149,3,tvmonitor,500,375,75,85.0,146,153
2007_001149,3,pottedplant,500,375,1,7.0,142,375
2007_001154,2,sofa,500,375,1,233.0,174,375
2007_001154,2,pottedplant,500,375,134,230.0,171,274
2007_001175,3,person,500,375,119,153.0,367,329
2007_001175,3,person,500,375,157,169.0,256,230
2007_001175,3,tvmonitor,500,375,360,114.0,449,187
2007_001185,4,cat,500,375,197,199.0,289,323
2007_001185,4,person,500,375,78,78.0,289,375
2007_001185,4,diningtable,500,375,204,223.0,500,375
2007_001185,4,bottle,500,375,452,131.0,500,253
2007_001225,1,dog,387,500,100,212.0,303,414
2007_001239,3,dog,500,375,108,60.0,320,160
2007_001239,3,dog,500,375,228,138.0,381,375
2007_001239,3,dog,500,375,118,94.0,286,307
2007_001284,6,person,500,375,135,123.0,235,375
2007_001284,6,person,500,375,238,115.0,376,304
2007_001284,6,person,500,375,276,117.0,426,360
2007_001284,6,person,500,375,301,114.0,500,375
2007_001284,6,person,500,375,1,114.0,126,375
2007_001284,6,person,500,375,419,90.0,448,139
2007_001288,3,aeroplane,500,342,68,76.0,426,209
2007_001288,3,aeroplane,500,342,357,272.0,497,317
2007_001288,3,aeroplane,500,342,196,272.0,316,314
2007_001289,1,bird,500,309,157,98.0,355,188
2007_001299,3,cow,429,500,39,26.0,229,412
2007_001299,3,cow,429,500,211,240.0,319,408
2007_001299,3,cow,429,500,318,221.0,408,435
2007_001311,10,bicycle,500,319,465,104.0,490,166
2007_001311,10,bicycle,500,319,432,118.0,465,186
2007_001311,10,bicycle,500,319,334,128.0,380,220
2007_001311,10,bicycle,500,319,177,188.0,304,319
2007_001311,10,bicycle,500,319,12,161.0,181,319
2007_001311,10,person,500,319,463,67.0,495,154
2007_001311,10,person,500,319,431,75.0,468,171
2007_001311,10,person,500,319,333,79.0,387,201
2007_001311,10,person,500,319,187,106.0,291,293
2007_001311,10,person,500,319,27,61.0,163,280
2007_001321,1,car,500,333,1,98.0,456,333
2007_001340,4,dog,500,375,326,284.0,500,375
2007_001340,4,chair,500,375,213,48.0,406,266
2007_001340,4,person,500,375,150,140.0,252,375
2007_001340,4,person,500,375,92,111.0,331,374
2007_001377,1,aeroplane,500,366,273,163.0,318,250
2007_001397,1,dog,333,500,128,121.0,214,263
2007_001408,6,bottle,333,500,114,245.0,178,448
2007_001408,6,person,333,500,56,107.0,230,387
2007_001408,6,bottle,333,500,20,68.0,50,167
2007_001408,6,person,333,500,210,1.0,333,108
2007_001408,6,person,333,500,84,87.0,333,366
2007_001408,6,pottedplant,333,500,119,1.0,184,130
2007_001416,6,sheep,500,328,208,78.0,401,192
2007_001416,6,sheep,500,328,19,71.0,183,195
2007_001416,6,sheep,500,328,1,106.0,121,249
2007_001416,6,sheep,500,328,1,185.0,324,328
2007_001416,6,sheep,500,328,330,26.0,472,106
2007_001416,6,sheep,500,328,27,13.0,252,134
2007_001420,3,horse,500,332,192,109.0,340,270
2007_001420,3,person,500,332,281,80.0,364,268
2007_001420,3,pottedplant,500,332,436,148.0,500,306
2007_001423,1,person,500,333,124,56.0,382,333
2007_001430,7,diningtable,500,375,1,269.0,250,374
2007_001430,7,person,500,375,100,154.0,235,286
2007_001430,7,person,500,375,211,146.0,303,352
2007_001430,7,person,500,375,245,154.0,398,374
2007_001430,7,pottedplant,500,375,56,174.0,100,220
2007_001430,7,tvmonitor,500,375,316,1.0,418,66
2007_001430,7,pottedplant,500,375,344,83.0,428,214
2007_001439,2,diningtable,375,500,4,324.0,375,500
2007_001439,2,chair,375,500,195,282.0,273,336
2007_001457,2,sofa,500,375,136,121.0,350,264
2007_001457,2,chair,500,375,432,212.0,500,375
2007_001458,1,sofa,500,333,106,121.0,392,299
2007_001487,1,boat,500,375,242,117.0,277,151
2007_001526,5,person,500,298,3,18.0,114,298
2007_001526,5,person,500,298,109,51.0,214,297
2007_001526,5,person,500,298,212,35.0,316,297
2007_001526,5,person,500,298,289,33.0,387,297
2007_001526,5,person,500,298,381,15.0,500,297
2007_001558,2,person,500,375,1,56.0,286,329
2007_001558,2,person,500,375,283,15.0,500,328
2007_001568,1,aeroplane,400,400,3,42.0,400,372
2007_001583,2,person,500,375,312,45.0,412,282
2007_001583,2,person,500,375,70,16.0,232,375
2007_001585,3,person,500,434,197,115.0,328,358
2007_001585,3,sofa,500,434,6,180.0,425,341
2007_001585,3,bottle,500,434,58,158.0,72,191
2007_001586,2,horse,480,398,28,54.0,429,329
2007_001586,2,person,480,398,211,40.0,331,237
2007_001587,1,bicycle,500,375,204,249.0,274,325
2007_001594,7,sheep,500,333,270,153.0,334,208
2007_001594,7,sheep,500,333,231,153.0,269,209
2007_001594,7,sheep,500,333,179,149.0,206,210
2007_001594,7,sheep,500,333,151,142.0,180,210
2007_001594,7,sheep,500,333,206,150.0,239,212
2007_001594,7,person,500,333,335,93.0,400,218
2007_001594,7,dog,500,333,253,177.0,302,238
2007_001595,2,bus,500,375,268,162.0,442,296
2007_001595,2,bus,500,375,40,158.0,275,288
2007_001602,2,bottle,351,500,252,2.0,351,365
2007_001602,2,bottle,351,500,112,3.0,225,203
2007_001609,5,diningtable,375,500,3,120.0,374,500
2007_001609,5,chair,375,500,179,75.0,263,124
2007_001609,5,chair,375,500,333,117.0,375,220
2007_001609,5,chair,375,500,29,111.0,72,182
2007_001609,5,chair,375,500,4,169.0,34,265
2007_001627,1,person,375,500,104,7.0,280,475
2007_001630,7,person,375,500,26,14.0,54,114
2007_001630,7,person,375,500,190,27.0,268,214
2007_001630,7,person,375,500,74,95.0,200,358
2007_001630,7,person,375,500,155,196.0,343,500
2007_001630,7,person,375,500,333,32.0,373,255
2007_001630,7,bicycle,375,500,85,231.0,200,428
2007_001630,7,bicycle,375,500,149,358.0,340,500
2007_001667,1,person,500,333,251,115.0,298,217
2007_001677,2,diningtable,500,375,110,269.0,500,375
2007_001677,2,chair,500,375,52,230.0,140,375
2007_001678,6,tvmonitor,500,333,373,102.0,500,228
2007_001678,6,tvmonitor,500,333,252,109.0,349,200
2007_001678,6,person,500,333,107,192.0,256,333
2007_001678,6,person,500,333,119,62.0,157,110
2007_001678,6,chair,500,333,111,82.0,145,113
2007_001678,6,tvmonitor,500,333,164,60.0,195,84
2007_001686,1,person,375,500,112,168.0,206,500
2007_001698,2,boat,500,375,61,93.0,447,209
2007_001698,2,boat,500,375,39,138.0,358,233
2007_001704,1,tvmonitor,500,375,118,1.0,405,317
2007_001709,3,person,500,333,367,132.0,426,287
2007_001709,3,person,500,333,1,1.0,202,333
2007_001709,3,motorbike,500,333,1,45.0,412,333
2007_001717,4,tvmonitor,500,404,1,111.0,58,169
2007_001717,4,person,500,404,371,160.0,476,404
2007_001717,4,person,500,404,227,99.0,365,404
2007_001717,4,chair,500,404,146,207.0,263,366
2007_001724,1,horse,275,315,35,15.0,219,302
2007_001733,19,sheep,500,500,1,270.0,82,329
2007_001733,19,sheep,500,500,236,275.0,294,326
2007_001733,19,sheep,500,500,180,275.0,235,365
2007_001733,19,sheep,500,500,132,261.0,167,287
2007_001733,19,sheep,500,500,104,252.0,116,269
2007_001733,19,sheep,500,500,56,254.0,82,275
2007_001733,19,sheep,500,500,23,263.0,42,274
2007_001733,19,sheep,500,500,8,254.0,25,271
2007_001733,19,sheep,500,500,30,256.0,45,269
2007_001733,19,sheep,500,500,203,256.0,215,267
2007_001733,19,sheep,500,500,165,260.0,183,281
2007_001733,19,sheep,500,500,217,259.0,231,266
2007_001733,19,sheep,500,500,255,264.0,270,278
2007_001733,19,sheep,500,500,270,266.0,287,276
2007_001733,19,sheep,500,500,361,264.0,376,276
2007_001733,19,sheep,500,500,338,262.0,351,272
2007_001733,19,sheep,500,500,324,262.0,342,274
2007_001733,19,sheep,500,500,312,260.0,323,274
2007_001733,19,sheep,500,500,297,259.0,312,274
2007_001761,1,aeroplane,500,333,27,87.0,500,273
2007_001763,4,cat,500,375,281,119.0,500,375
2007_001763,4,dog,500,375,1,24.0,330,366
2007_001763,4,sofa,500,375,1,48.0,500,375
2007_001763,4,tvmonitor,500,375,83,1.0,195,16
2007_001764,6,cow,500,375,467,105.0,500,150
2007_001764,6,cow,500,375,278,103.0,349,147
2007_001764,6,cow,500,375,221,106.0,282,148
2007_001764,6,cow,500,375,134,103.0,223,148
2007_001764,6,cow,500,375,98,97.0,144,133
2007_001764,6,cow,500,375,2,112.0,11,140
2007_001774,1,cat,500,340,14,86.0,500,286
2007_001825,2,cat,500,375,1,39.0,403,300
2007_001825,2,dog,500,375,1,3.0,500,372
2007_001834,1,diningtable,500,334,46,39.0,456,304
2007_001857,7,car,500,375,1,11.0,500,374
2007_001857,7,person,500,375,397,1.0,479,127
2007_001857,7,person,500,375,328,1.0,413,122
2007_001857,7,person,500,375,226,1.0,327,117
2007_001857,7,person,500,375,168,3.0,236,104
2007_001857,7,person,500,375,86,1.0,145,45
2007_001857,7,person,500,375,132,32.0,173,67
2007_001872,1,sheep,500,375,153,22.0,355,342
2007_001884,4,bus,500,375,189,217.0,201,245
2007_001884,4,bus,500,375,200,216.0,311,251
2007_001884,4,bus,500,375,309,213.0,416,245
2007_001884,4,aeroplane,500,375,130,112.0,435,211
2007_001901,5,chair,375,500,192,261.0,247,390
2007_001901,5,chair,375,500,292,255.0,312,415
2007_001901,5,chair,375,500,233,258.0,308,400
2007_001901,5,diningtable,375,500,238,266.0,312,413
2007_001901,5,sofa,375,500,4,284.0,173,497
2007_001917,3,cow,500,397,191,167.0,266,210
2007_001917,3,cow,500,397,416,181.0,482,217
2007_001917,3,cow,500,397,341,173.0,420,220
2007_001955,2,horse,500,324,247,183.0,296,239
2007_001955,2,horse,500,324,212,178.0,248,226
2007_001960,1,horse,329,500,108,138.0,264,332
2007_002024,4,bus,500,375,337,124.0,500,273
2007_002024,4,bus,500,375,104,88.0,343,301
2007_002024,4,bus,500,375,1,109.0,71,297
2007_002024,4,person,500,375,174,160.0,207,199
2007_002046,2,horse,454,500,277,143.0,454,423
2007_002046,2,horse,454,500,1,67.0,269,433
2007_002055,3,dog,500,375,15,248.0,151,368
2007_002055,3,person,500,375,64,146.0,229,375
2007_002055,3,sofa,500,375,2,220.0,275,374
2007_002079,2,person,500,375,210,37.0,327,374
2007_002079,2,person,500,375,313,79.0,433,372
2007_002088,1,cow,500,332,1,30.0,470,332
2007_002094,1,bird,500,332,72,1.0,335,331
2007_002099,1,aeroplane,500,375,1,92.0,500,331
2007_002105,2,motorbike,500,375,169,96.0,407,276
2007_002105,2,person,500,375,237,99.0,358,240
2007_002107,1,aeroplane,500,375,408,243.0,449,257
2007_002119,6,tvmonitor,500,375,369,135.0,443,202
2007_002119,6,person,500,375,155,65.0,256,332
2007_002119,6,person,500,375,85,36.0,164,368
2007_002119,6,person,500,375,30,2.0,143,375
2007_002119,6,person,500,375,6,117.0,31,153
2007_002119,6,person,500,375,2,138.0,44,271
2007_002120,2,bird,500,335,228,35.0,347,90
2007_002120,2,person,500,335,64,24.0,496,334
2007_002132,1,tvmonitor,500,375,184,155.0,306,249
2007_002142,3,person,500,333,178,86.0,316,333
2007_002142,3,person,500,333,292,71.0,409,333
2007_002142,3,person,500,333,5,130.0,62,218
2007_002198,1,aeroplane,500,369,118,106.0,426,177
2007_002212,1,bird,500,334,42,72.0,459,247
2007_002216,2,bus,500,340,360,110.0,500,313
2007_002216,2,bus,500,340,65,104.0,396,319
2007_002227,2,tvmonitor,500,333,419,64.0,500,135
2007_002227,2,bicycle,500,333,33,20.0,450,330
2007_002234,2,boat,500,375,110,150.0,415,250
2007_002234,2,boat,500,375,1,83.0,136,166
2007_002260,1,motorbike,500,330,107,61.0,447,287
2007_002262,1,person,500,333,93,36.0,467,333
2007_002266,2,aeroplane,500,373,231,251.0,458,346
2007_002266,2,aeroplane,500,373,5,118.0,499,258
2007_002268,3,dog,500,375,65,256.0,242,354
2007_002268,3,cat,500,375,288,186.0,378,249
2007_002268,3,sofa,500,375,6,188.0,493,375
2007_002273,2,horse,320,212,116,51.0,190,181
2007_002273,2,person,320,212,121,14.0,186,118
2007_002281,2,car,500,238,1,30.0,387,213
2007_002281,2,person,500,238,189,54.0,214,96
2007_002284,6,pottedplant,375,500,18,1.0,106,88
2007_002284,6,pottedplant,375,500,1,40.0,25,84
2007_002284,6,pottedplant,375,500,120,19.0,216,116
2007_002284,6,pottedplant,375,500,176,48.0,234,125
2007_002284,6,pottedplant,375,500,169,121.0,240,243
2007_002284,6,pottedplant,375,500,110,278.0,250,493
2007_002293,2,person,332,500,2,47.0,264,500
2007_002293,2,person,332,500,87,131.0,287,500
2007_002344,1,person,333,500,3,44.0,333,500
2007_002361,2,pottedplant,375,500,21,199.0,148,486
2007_002361,2,person,375,500,294,296.0,375,500
2007_002368,5,sofa,333,500,41,224.0,75,277
2007_002368,5,sofa,333,500,284,316.0,333,500
2007_002368,5,chair,333,500,34,269.0,112,387
2007_002368,5,chair,333,500,183,274.0,272,391
2007_002368,5,diningtable,333,500,135,263.0,256,403
2007_002370,4,person,500,375,454,190.0,465,210
2007_002370,4,person,500,375,461,189.0,474,209
2007_002370,4,car,500,375,395,189.0,432,208
2007_002370,4,car,500,375,355,174.0,391,213
2007_002376,1,aeroplane,500,333,1,32.0,458,224
2007_002378,6,person,500,375,184,10.0,384,305
2007_002378,6,pottedplant,500,375,1,2.0,196,296
2007_002378,6,pottedplant,500,375,242,99.0,500,367
2007_002378,6,pottedplant,500,375,305,12.0,500,372
2007_002378,6,pottedplant,500,375,360,30.0,500,358
2007_002378,6,pottedplant,500,375,117,37.0,170,164
2007_002387,4,cow,500,375,246,170.0,342,244
2007_002387,4,person,500,375,220,153.0,250,252
2007_002387,4,person,500,375,194,128.0,214,166
2007_002387,4,person,500,375,160,130.0,188,167
2007_002400,1,bird,350,500,2,27.0,305,499
2007_002403,3,person,500,375,316,114.0,334,160
2007_002403,3,bird,500,375,373,182.0,407,226
2007_002403,3,boat,500,375,283,30.0,394,174
2007_002412,2,bird,500,375,274,181.0,305,220
2007_002412,2,bird,500,375,210,199.0,247,240
2007_002426,2,person,500,375,95,34.0,493,285
2007_002426,2,sofa,500,375,38,2.0,248,116
2007_002427,3,sofa,320,240,161,143.0,261,228
2007_002427,3,sofa,320,240,1,60.0,137,240
2007_002427,3,pottedplant,320,240,253,181.0,320,240
2007_002445,1,cat,360,500,13,89.0,349,490
2007_002462,1,train,500,375,54,75.0,500,158
2007_002470,1,cat,417,500,23,86.0,417,462
2007_002488,2,person,375,500,110,75.0,281,443
2007_002488,2,motorbike,375,500,11,226.0,375,500
2007_002539,2,bus,500,333,1,1.0,500,333
2007_002539,2,person,500,333,198,105.0,307,333
2007_002545,4,person,375,500,75,43.0,206,496
2007_002545,4,bottle,375,500,181,62.0,211,132
2007_002545,4,sofa,375,500,3,27.0,248,394
2007_002545,4,sofa,375,500,242,77.0,375,280
2007_002565,2,train,500,375,1,19.0,460,348
2007_002565,2,person,500,375,258,175.0,334,336
2007_002597,2,cat,500,375,88,173.0,422,375
2007_002597,2,dog,500,375,51,21.0,388,248
2007_002611,2,person,500,375,1,1.0,397,351
2007_002611,2,dog,500,375,152,131.0,337,298
2007_002618,1,sheep,500,384,17,20.0,483,343
2007_002619,1,aeroplane,380,500,26,15.0,345,476
2007_002624,3,person,500,375,109,142.0,281,375
2007_002624,3,person,500,375,254,150.0,360,256
2007_002624,3,diningtable,500,375,217,245.0,500,375
2007_002639,3,person,500,375,345,158.0,402,284
2007_002639,3,person,500,375,240,141.0,307,301
2007_002639,3,person,500,375,185,156.0,242,301
2007_002643,4,car,500,375,1,51.0,89,152
2007_002643,4,person,500,375,407,57.0,453,174
2007_002643,4,person,500,375,180,102.0,281,207
2007_002643,4,motorbike,500,375,181,133.0,302,282
2007_002648,3,sheep,500,375,104,157.0,302,372
2007_002648,3,sheep,500,375,239,148.0,350,225
2007_002648,3,sheep,500,375,38,100.0,255,267
2007_002668,6,diningtable,500,375,86,312.0,499,374
2007_002668,6,person,500,375,320,102.0,500,319
2007_002668,6,person,500,375,426,105.0,462,134
2007_002668,6,person,500,375,95,83.0,309,319
2007_002668,6,person,500,375,89,169.0,112,190
2007_002668,6,pottedplant,500,375,19,124.0,97,187
2007_002669,4,cow,500,375,292,137.0,372,174
2007_002669,4,cow,500,375,116,191.0,245,287
2007_002669,4,person,500,375,442,241.0,478,294
2007_002669,4,cow,500,375,163,184.0,273,269
2007_002719,5,boat,500,374,53,100.0,468,238
2007_002719,5,person,500,374,158,130.0,188,168
2007_002719,5,person,500,374,183,108.0,206,136
2007_002719,5,person,500,374,144,107.0,167,132
2007_002719,5,person,500,374,87,126.0,122,150
2007_002728,3,train,500,334,264,170.0,376,236
2007_002728,3,person,500,334,333,1.0,500,332
2007_002728,3,person,500,334,1,1.0,223,334
2007_002760,2,cat,500,333,256,28.0,500,277
2007_002760,2,cat,500,333,1,7.0,273,294
2007_002789,13,person,500,314,376,128.0,427,222
2007_002789,13,cow,500,314,50,130.0,174,219
2007_002789,13,cow,500,314,195,170.0,205,187
2007_002789,13,cow,500,314,220,172.0,241,189
2007_002789,13,cow,500,314,478,196.0,500,206
2007_002789,13,cow,500,314,461,194.0,479,208
2007_002789,13,cow,500,314,454,191.0,479,198
2007_002789,13,cow,500,314,415,188.0,429,198
2007_002789,13,cow,500,314,375,188.0,397,198
2007_002789,13,car,500,314,459,174.0,485,184
2007_002789,13,car,500,314,376,175.0,402,182
2007_002789,13,car,500,314,314,173.0,337,184
2007_002789,13,car,500,314,239,173.0,259,182
2007_002823,2,motorbike,500,375,93,227.0,448,375
2007_002823,2,person,500,375,213,149.0,327,344
2007_002824,1,person,500,431,1,13.0,500,431
2007_002845,6,sheep,375,500,284,196.0,326,216
2007_002845,6,sheep,375,500,14,265.0,175,347
2007_002845,6,sheep,375,500,140,199.0,186,235
2007_002845,6,sheep,375,500,220,210.0,248,229
2007_002845,6,sheep,375,500,254,204.0,279,227
2007_002845,6,sheep,375,500,230,201.0,256,220
2007_002852,3,dog,500,375,38,57.0,298,157
2007_002852,3,dog,500,375,68,147.0,458,237
2007_002852,3,dog,500,375,22,202.0,387,361
2007_002895,2,person,500,375,388,194.0,419,339
2007_002895,2,person,500,375,415,192.0,447,338
2007_002896,1,bird,375,500,124,71.0,253,500
2007_002903,1,cow,500,376,16,19.0,480,376
2007_002914,2,diningtable,500,375,2,266.0,397,375
